,Mls
565,750.00 
566,750.00 
567,750.00 
568,750.00 
569,750.00 
570,3000.00 
571,750.00 
572,750.00 
573,750.00 
574,750.00 
575,750.00 
576,750.00 
577,750.00 
578,750.00 
579,750.00 
580,375.00 
581,750.00 
582,750.00 
583,750.00 
584,750.00 
585,750.00 
586,750.00 
587,750.00 
588,750.00 
589,750.00 
590,750.00 
591,750.00 
592,750.00 
593,750.00 
594,750.00 
595,750.00 
596,375.00 
597,750.00 
598,750.00 
599,750.00 
600,750.00 
601,750.00 
602,750.00 
603,750.00 
604,750.00 
605,375.00 
606,375.00 
607,375.00 
608,750.00 
609,750.00 
610,750.00 
611,750.00 
612,750.00 
613,750.00 
614,750.00 
615,750.00 
616,750.00 
617,750.00 
618,750.00 
619,750.00 
620,375.00 
621,750.00 
622,750.00 
623,750.00 
624,750.00 
625,750.00 
626,750.00 
627,750.00 
628,750.00 
629,750.00
630,750.00 
631,750.00 
632,750.00 
633,750.00 
634,750.00 
635,750.00 
636,750.00 
637,750.00 
638,750.00 
639,750.00 
640,750.00 
641,750.00 
642,750.00 
643,750.00 
644,750.00 
645,750.00 
646,750.00 
647,750.00 
648,750.00 
649,750.00 
650,750.00 
651,750.00 
652,750.00 
653,750.00 
654,750.00 
655,750.00 
656,187.00 
657,375.00 
658,750.00 
659,750.00 
660,750.00 
661,750.00 
662,500.00 
663,750.00 
664,750.00 
